,subject,sessions,agent,loglik,logpostprob,BIC,AIC,params,params,params,params,params,params,params,param_ranges,param_ranges,param_ranges,param_ranges,param_ranges,param_ranges,param_ranges
,,,,,,,,G_td,G_mb,alpQ,lbd,alpT,bias,pers,G_td,G_mb,alpQ,lbd,alpT,bias,pers
37,10,5-8,MF_MB,-12.907572631522639,-24.775469725307623,58.051336564961915,39.81514526304528,5.829934647549869,1.437917904983804,0.9353824379303698,0.9003161676955956,0.6822966353140979,0.4870855603021407,-4.86890268028918,pos,pos,unit,unit,unit,unc,unc
38,11,5-8,MF_MB,-36.25348825970386,-42.56182437745835,104.74316782132436,86.50697651940771,3.020504854637824,2.1955087820096293,0.4250211526877186,0.7544980503516535,0.26272448561095724,1.164025126036839,0.7193424746213289,pos,pos,unit,unit,unit,unc,unc
39,12,5-8,MF_MB,-26.040621853288393,-33.269025216453215,84.31743500849342,66.08124370657679,6.844421030849834,0.6021201358843521,0.5264868789149943,0.5773088375563391,0.5723783300371899,0.8540205948232963,-0.11136588565083932,pos,pos,unit,unit,unit,unc,unc
40,13,5-8,MF_MB,-28.595712099315648,-38.29036655273519,89.42761550054794,71.1914241986313,4.392394717364362,1.0583403027774352,0.95119480058249,0.9221891301670079,0.7925046918805337,-0.824500582329221,-1.5225484749313078,pos,pos,unit,unit,unit,unc,unc
41,14,5-8,MF_MB,-22.215574514216634,-31.678015448050797,76.6673403303499,58.43114902843327,5.5582523775383,1.5120218613223682,0.8808004328148966,0.8447485466902095,0.6839458359377719,-0.10555587890583247,-3.5957049226480513,pos,pos,unit,unit,unit,unc,unc
42,15,5-8,MF_MB,-57.0183337699633,-64.71157809706841,146.27285884184323,128.0366675399266,1.6015681123332017,0.8782626751481339,0.8898222808259557,0.8831847402979304,0.704828206270305,-0.24529345978334363,0.11744821668445284,pos,pos,unit,unit,unit,unc,unc
43,16,5-8,MF_MB,-69.52536139574812,-76.54162173132642,171.2869140934129,153.05072279149624,1.2761223138832376,0.8828795228816815,0.08570410458515905,0.34785836776050194,0.4502913228946316,-0.21293685730255327,-0.14786786719923142,pos,pos,unit,unit,unit,unc,unc
44,17,5-8,MF_MB,-51.940172456578836,-58.41074597071895,136.11653621507432,117.88034491315767,1.1333743478122074,1.4012213421452773,0.8301974781545499,0.7364275146987161,0.45784069322419446,-0.22909090122776482,0.6050826410676102,pos,pos,unit,unit,unit,unc,unc
45,18,5-8,MF_MB,-53.09528577430493,-60.910831653487904,138.4267628505265,120.19057154860985,0.3526952978329574,2.616821561590425,0.9113806980095714,0.7253397084185426,0.4529461869763284,0.6915079315190691,-0.5974400376554168,pos,pos,unit,unit,unit,unc,unc
46,19,5-8,MF_MB,-59.09016782605438,-66.689630443558,150.41652695402541,132.18033565210877,1.2735033411648369,0.9349351831149998,0.06561191071807412,0.4522063383539668,0.49986056120599615,0.9325917234441378,-1.7109297594529274,pos,pos,unit,unit,unit,unc,unc
47,20,5-8,MF_MB,-50.35137675691795,-57.444381058308736,132.93894481575254,114.7027535138359,1.9121233814322425,0.8559231451587117,0.8471406988851792,0.8461267257278989,0.6403542999377998,0.34347848235682943,0.3368595259423363,pos,pos,unit,unit,unit,unc,unc
48,21,5-8,MF_MB,-43.29383820297984,-50.972292456013264,118.82386770787633,100.58767640595968,2.7940897006253342,2.32905247886343,0.8642579770032109,0.8947027268356823,0.2701544789009335,0.6699244211628422,-1.2115153203462616,pos,pos,unit,unit,unit,unc,unc
49,22,5-8,MF_MB,-54.04459624738604,-60.27181022108982,140.32538379668873,122.08919249477208,1.5345327229057146,0.5896131883580326,0.4932273138565858,0.5951727608951914,0.4748400921192051,-0.7374613233865263,1.1903261060396046,pos,pos,unit,unit,unit,unc,unc
50,23,5-8,MF_MB,-25.922197129093025,-33.93287175561785,84.08058556010269,65.84439425818604,1.4509758280090859,1.1642243261587806,0.34186489772021156,0.35601081956421504,0.42432667634284615,0.18194396043851532,4.221589679177633,pos,pos,unit,unit,unit,unc,unc
51,24,5-8,MF_MB,-31.882332215699293,-40.54410887325022,96.00085573331523,77.76466443139859,4.338355714855869,2.799382563995672,0.9505716012260821,0.8977252359609794,0.5293202418355571,0.012361917120725159,-1.0301707834412357,pos,pos,unit,unit,unit,unc,unc
52,25,5-8,MF_MB,-40.19979139260896,-46.69588444252477,112.63577408713456,94.39958278521792,2.736045308860282,1.8829207800185572,0.2486129879955942,0.6329412447895306,0.2991108431970136,0.5876106489370615,1.9217810746637287,pos,pos,unit,unit,unit,unc,unc
53,26,5-8,MF_MB,-56.24263661421819,-63.5590547069258,144.72146453035302,126.48527322843638,1.3742328680796867,0.6808165705689907,0.825118185831316,0.878402848644609,0.5372201961051497,0.5385222395059202,0.03771282719117543,pos,pos,unit,unit,unit,unc,unc
54,27,5-8,MF_MB,-63.79492328051695,-70.59334844588595,159.82603786295053,141.58984656103388,2.550639335434114,1.0344950673674276,0.12455726165392234,0.2678166236621931,0.4094437042173531,0.02219916519757272,0.8472714920260377,pos,pos,unit,unit,unit,unc,unc
55,28,5-8,MF_MB,-57.48557782380695,-63.79175957146074,147.20734694953055,128.9711556476139,1.22751657277509,0.5763392586200206,0.5578894423649626,0.6442926516930568,0.42340707423125173,-0.5120548783096094,0.9832697916529128,pos,pos,unit,unit,unit,unc,unc
56,1,9-12,MF_MB,-32.04509846395418,-39.164588057414605,96.326388229825,78.09019692790837,1.8559538474022206,0.8444421918325449,0.585074927556666,0.5660373152544007,0.5663214712346277,2.778577063794341,-1.807669163417618,pos,pos,unit,unit,unit,unc,unc
57,2,9-12,MF_MB,-50.10945489204127,-57.982557915863396,132.4551010859992,114.21890978408254,1.0142097175558802,3.3167617320598337,0.9063730204212259,0.6654483484104984,0.11093615555363513,0.15279771651766919,-0.29570070336350474,pos,pos,unit,unit,unit,unc,unc
